owner/repo,lang,label,wilcoxon_pvalue,identical,delta,eff_size,invalid,summary_treatment,summary_control
wordpress-mobile/WordPress-Android,JAVA,Low Hanging Fruit,1.048E-02,False,0.1317116,negligible,False,Min=0;Median=0.000;Mean=0.476;Max=7;std_dev=0.865,Min=0;Median=0.000;Mean=0.231;Max=2;std_dev=0.466
zaproxy/zaproxy,JAVA,good first issue,,,,,True,,
adambard/learnxinyminutes-docs,JAVASCRIPT,quickfix,6.396E-02,False,-0.1110214,negligible,False,Min=0;Median=3.000;Mean=3.292;Max=14;std_dev=2.397,Min=0;Median=3.000;Mean=6.269;Max=88;std_dev=11.939
adobe/brackets,JAVASCRIPT,Starter bug,,,,,True,,
ajaxorg/ace,JAVASCRIPT,help-wanted,9.822E-01,True,0.001195682,negligible,False,Min=0;Median=1.000;Mean=0.995;Max=5;std_dev=1.025,Min=0;Median=1.000;Mean=1.043;Max=5;std_dev=1.176
ampproject/amphtml,JAVASCRIPT,good first issue,,,,,True,,
angular/angular.js,JAVASCRIPT,PRs plz!,8.309E-15,False,0.7010951,large,False,Min=0;Median=2.000;Mean=5.418;Max=36;std_dev=7.186,Min=0;Median=0.000;Mean=0.024;Max=1;std_dev=0.154
apostrophecms/apostrophe,JAVASCRIPT,help wanted,,,,,True,,
appium/appium,JAVASCRIPT,Help Needed,1.738E-03,False,-0.1819673,small,False,Min=0;Median=1.000;Mean=0.889;Max=7;std_dev=0.967,Min=0;Median=1.000;Mean=1.297;Max=5;std_dev=1.222
Automattic/mongoose,JAVASCRIPT,help wanted,2.009E-09,False,0.2732225,small,False,Min=0;Median=2.000;Mean=1.737;Max=7;std_dev=1.409,Min=0;Median=1.000;Mean=1.112;Max=6;std_dev=1.220
Automattic/wp-calypso,JAVASCRIPT,Good First Issue,,,,,True,,
balderdashy/sails,JAVASCRIPT,pr welcome,1.324E-13,False,-0.3654125,medium,False,Min=0;Median=0.000;Mean=0.281;Max=3;std_dev=0.558,Min=0;Median=1.000;Mean=1.176;Max=6;std_dev=1.442
bcoin-org/bcoin,JAVASCRIPT,help wanted,7.819E-01,True,-0.0110777,negligible,False,Min=0;Median=0.000;Mean=0.197;Max=2;std_dev=0.426,Min=0;Median=0.000;Mean=0.230;Max=3;std_dev=0.513
bkimminich/juice-shop,JAVASCRIPT,help wanted,,,,,True,,
canjs/canjs,JAVASCRIPT,easy,7.701E-01,True,0.01658255,negligible,False,Min=0;Median=0.000;Mean=0.362;Max=4;std_dev=0.685,Min=0;Median=0.000;Mean=0.356;Max=3;std_dev=0.695
carbon-design-system/carbon,JAVASCRIPT,Hacktoberfest,7.317E-10,False,0.4609568,medium,False,Min=0;Median=1.000;Mean=1.500;Max=13;std_dev=1.667,Min=0;Median=0.000;Mean=0.469;Max=4;std_dev=0.808
CartoDB/cartodb,JAVASCRIPT,easy,2.236E-01,False,0.04954856,negligible,False,Min=0;Median=0.000;Mean=0.347;Max=3;std_dev=0.580,Min=0;Median=0.000;Mean=0.308;Max=3;std_dev=0.593
conversejs/converse.js,JAVASCRIPT,help wanted,5.819E-04,False,0.1501113,small,False,Min=0;Median=0.000;Mean=0.406;Max=3;std_dev=0.654,Min=0;Median=0.000;Mean=0.208;Max=2;std_dev=0.478
coralproject/talk,JAVASCRIPT,help wanted,1.258E-02,False,0.2045008,small,False,Min=0;Median=0.000;Mean=0.693;Max=9;std_dev=1.046,Min=0;Median=0.000;Mean=0.333;Max=2;std_dev=0.595
DemocracyOS/democracyos,JAVASCRIPT,help wanted,4.162E-02,False,0.1483254,small,False,Min=0;Median=0.000;Mean=0.215;Max=3;std_dev=0.496,Min=0;Median=0.000;Mean=0.034;Max=1;std_dev=0.186
EFForg/https-everywhere,JAVASCRIPT,good volunteer task,1.886E-02,False,0.2243074,small,False,Min=0;Median=2.000;Mean=2.338;Max=13;std_dev=1.933,Min=0;Median=1.000;Mean=1.564;Max=4;std_dev=1.273
elastic/kibana,JAVASCRIPT,good first issue,1.348E-05,False,0.418352,medium,False,Min=0;Median=2.000;Mean=2.709;Max=133;std_dev=6.838,Min=0;Median=0.500;Mean=1.132;Max=5;std_dev=1.455
